council,randage,ethnicity,simd,urban_rural,household_type,gender,tenure,greenspace,neighbourhood_rating,community_belonging
L,67,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
L,80,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
L,41,White,5,Urban,Children,Female,Owned Outright,6-10 mins,Very good,Fairly strongly
L,17,White,5,Urban,Children,Female,Owned Outright,6-10 mins,Very good,Very strongly
L,64,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Very strongly
L,63,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
L,73,White,5,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Very good,Fairly strongly
L,78,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Very strongly
L,47,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
L,33,White,5,Urban,Children,Male,Owned Outright,11-20 mins,Very good,Fairly strongly
L,16,White,5,Urban,Children,Male,Owned Outright,11-20 mins,Fairly good,Not very strongly
L,41,White,5,Urban,Children,Female,Owned Outright,6-10 mins,Very good,Very strongly
L,27,White,5,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
L,35,White,3,Urban,Children,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
L,65,White,3,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
L,65,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
L,22,White,4,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Very good,Not very strongly
L,42,White,4,Urban,Children,Female,Owned Outright,11-20 mins,Very good,Very strongly
L,55,White,3,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Very strongly
P,30,Other,2,Urban,Children,Female,Social Rented,5 mins or less,Very good,Fairly strongly
P,39,White,1,Urban,Children,Female,Social Rented,5 mins or less,Fairly poor,Not very strongly
P,50,White,2,Urban,Adult,Female,Social Rented,6-10 mins,Fairly good,Fairly strongly
P,53,White,1,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly poor,Not very strongly
P,43,Other,2,Urban,Children,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
P,48,White,3,Urban,Children,Male,Owned Outright,11-20 mins,Very good,Very strongly
L,66,Other,4,Urban,Children,Male,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
L,86,White,5,Urban,Pensioner,Male,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
L,86,Other,5,Urban,Adult,Female,Owned Loan/Mortgage,21-30 mins,Very good,Very strongly
L,72,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
L,83,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
L,25,White,4,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Fairly strongly
L,26,White,3,Urban,Adult,Female,Owned Outright,6-10 mins,Very good,Fairly strongly
L,48,White,3,Urban,Children,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Very strongly
L,39,White,5,Urban,Children,Female,Owned Outright,6-10 mins,Very good,Very strongly
L,45,White,3,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
P,72,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
L,76,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,11-20 mins,Very good,Fairly strongly
P,74,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
P,64,Other,5,Urban,Children,Male,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
P,57,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Very strongly
L,86,White,5,Urban,Pensioner,Female,Social Rented,5 mins or less,Very good,Very strongly
L,61,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
L,74,White,5,Urban,Pensioner,Male,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
L,65,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
L,67,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
L,32,Other,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Very strongly
L,73,White,5,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,46,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Very strongly
M,56,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Not at all strongly
M,52,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Very strongly
M,75,White,4,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,68,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,54,White,4,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,37,White,4,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,81,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,19,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Fairly good,Don't know
M,62,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Very strongly
K,65,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
K,61,White,4,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
K,54,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,42,White,3,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
M,31,White,3,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,84,White,4,Urban,Adult,Male,Social Rented,11-20 mins,Very good,Very strongly
M,61,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
M,53,White,5,Urban,Adult,Male,Owned Outright,11-20 mins,Fairly good,Fairly strongly
M,69,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,41,White,2,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
M,58,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,43,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,36,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
M,43,Other,5,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Very strongly
M,56,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
M,80,White,5,Urban,Pensioner,Male,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
M,42,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Very strongly
M,41,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,39,White,5,Urban,Adult,Female,Social Rented,6-10 mins,Very good,Fairly strongly
M,17,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,48,White,5,Urban,Children,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
M,79,White,1,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,80,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very poor,Not at all strongly
M,62,White,4,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
M,20,Other,1,Urban,Children,Male,Social Rented,5 mins or less,Very good,Very strongly
M,32,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly poor,Not at all strongly
M,31,White,4,Urban,Children,Female,Owned Outright,6-10 mins,Fairly good,Not very strongly
M,22,White,1,Urban,Adult,Female,Owned Outright,6-10 mins,Fairly good,Fairly strongly
M,31,Other,1,Urban,Children,Male,Owned Outright,5 mins or less,Very poor,Not very strongly
M,26,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,22,White,3,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
M,42,White,1,Urban,Children,Female,Social Rented,5 mins or less,Fairly poor,Not very strongly
M,40,White,1,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
M,41,White,3,Urban,Adult,Male,Owned Outright,11-20 mins,Fairly good,Fairly strongly
M,58,White,2,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Not very strongly
M,70,White,2,Urban,Adult,Male,Social Rented,6-10 mins,Very good,Very strongly
M,40,White,3,Urban,Adult,Female,Owned Outright,11-20 mins,Fairly good,Not very strongly
M,30,White,1,Urban,Children,Female,Social Rented,11-20 mins,Very poor,Not at all strongly
M,31,White,1,Urban,Adult,Male,Social Rented,11-20 mins,Fairly good,Not very strongly
M,37,White,3,Urban,Children,Female,Owned Outright,11-20 mins,Fairly good,Very strongly
M,86,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,64,White,4,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Very good,Fairly strongly
M,73,White,4,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,71,White,5,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Very good,Fairly strongly
M,34,White,2,Urban,Adult,Male,Owned Outright,11-20 mins,Very good,Not very strongly
M,76,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
M,47,White,4,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,42,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,64,White,1,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
M,47,White,1,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
M,38,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Very strongly
M,64,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
M,43,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,44,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,59,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Not very strongly
M,70,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
M,84,White,2,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,43,White,5,Urban,Children,Female,Owned Outright,6-10 mins,Fairly good,Fairly strongly
M,77,White,3,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
M,25,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Not very strongly
M,32,Other,3,Urban,Children,Female,Social Rented,5 mins or less,Very good,Fairly strongly
M,48,White,3,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
M,77,White,2,Urban,Pensioner,Female,Owned Outright,5 mins or less,Fairly poor,Very strongly
M,51,White,4,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly poor,Fairly strongly
M,46,White,2,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
M,55,White,3,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Not very strongly
M,68,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,41,Other,2,Urban,Children,Male,Owned Outright,5 mins or less,Fairly good,Not very strongly
M,55,Other,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
M,48,Other,2,Urban,Children,Male,Social Rented,5 mins or less,Very poor,Fairly strongly
M,80,White,2,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
M,65,White,1,Urban,Pensioner,Male,Social Rented,6-10 mins,Very good,Very strongly
M,86,White,2,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Fairly poor,Not very strongly
M,71,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,61,White,4,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
M,73,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Very strongly
M,70,White,1,Urban,Pensioner,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
M,50,Other,1,Urban,Children,Female,Social Rented,6-10 mins,Fairly good,Not very strongly
M,34,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not at all strongly
M,25,Other,2,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
M,75,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
M,36,White,2,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Fairly strongly
M,31,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,56,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
M,40,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Very strongly
M,65,Other,1,Urban,Pensioner,Female,Owned Loan/Mortgage,More than 30,Fairly poor,Not very strongly
M,40,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
M,69,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,62,Other,1,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
M,53,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
M,31,White,3,Urban,Adult,Male,Social Rented,6-10 mins,Very good,Fairly strongly
M,56,White,3,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,52,White,2,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,32,White,2,Urban,Children,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
M,24,White,4,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,84,White,3,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Very strongly
M,72,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
M,59,White,3,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,47,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Very strongly
M,39,White,4,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
M,77,White,4,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Not at all strongly
M,55,White,4,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
M,56,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Very strongly
M,64,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Very strongly
M,47,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Very poor,Not at all strongly
M,70,White,1,Urban,Pensioner,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,29,White,1,Urban,Children,Male,Owned Loan/Mortgage,5 mins or less,Fairly poor,Not at all strongly
M,34,White,1,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,81,White,1,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,72,White,3,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly poor,Fairly strongly
M,28,Other,3,Urban,Children,Female,Social Rented,5 mins or less,Very good,Fairly strongly
M,30,White,2,Urban,Children,Female,Social Rented,5 mins or less,Very good,Fairly strongly
M,26,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
M,86,White,5,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
M,34,White,5,Urban,Adult,Male,Owned Outright,11-20 mins,Very good,Don't know
M,68,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,52,White,5,Urban,Adult,Female,Owned Outright,11-20 mins,Very good,Fairly strongly
M,76,White,4,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,65,White,4,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,86,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,45,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly poor,Not very strongly
M,39,White,1,Urban,Children,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
M,30,White,2,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
M,18,White,1,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Very strongly
M,62,White,4,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Not very strongly
M,65,White,1,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Not very strongly
M,61,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,64,White,3,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Not very strongly
M,73,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,40,White,1,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
M,57,White,1,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Very strongly
M,42,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Very strongly
M,59,White,4,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
M,51,White,1,Urban,Children,Female,Social Rented,5 mins or less,Very good,Very strongly
M,27,White,1,Urban,Children,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,66,White,1,Urban,Pensioner,Female,Social Rented,5 mins or less,Fairly poor,Not very strongly
M,41,White,1,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
M,58,White,1,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,32,Other,1,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,64,White,1,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
M,30,White,5,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Fairly strongly
M,34,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
M,68,White,3,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Very strongly
M,64,White,3,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,28,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
M,34,White,2,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
M,21,White,2,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,69,White,2,Urban,Pensioner,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,59,White,3,Urban,Adult,Male,Owned Outright,6-10 mins,Very good,Very strongly
M,27,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Not very strongly
M,26,White,4,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
M,80,White,4,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,27,White,4,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
M,52,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
M,30,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Not very strongly
M,49,Other,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
M,37,White,4,Urban,Adult,Female,Owned Outright,11-20 mins,Fairly good,Not very strongly
M,38,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Not very strongly
M,27,White,3,Urban,Adult,Female,Social Rented,11-20 mins,Fairly good,Fairly strongly
M,31,White,5,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Not at all strongly
M,70,White,3,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Not very strongly
M,20,White,3,Urban,Adult,Female,Social Rented,6-10 mins,Very good,Very strongly
M,39,White,4,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Not very strongly
M,30,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Very strongly
M,52,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Very strongly
M,42,White,4,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
M,46,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Very strongly
M,22,Other,4,Urban,Adult,Female,Social Rented,More than 30,Very good,Fairly strongly
M,32,White,4,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
M,29,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
M,50,White,4,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Very strongly
M,37,White,3,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Not very strongly
M,30,White,2,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly good,Fairly strongly
M,77,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
M,28,White,2,Urban,Adult,Female,Social Rented,6-10 mins,Very good,Fairly strongly
M,25,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Not very strongly
M,40,White,4,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,27,White,4,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Very strongly
M,28,White,4,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not at all strongly
M,29,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Fairly poor,Not very strongly
M,35,White,2,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
M,57,White,3,Urban,Adult,Male,Social Rented,6-10 mins,Very good,Not very strongly
M,22,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,68,White,2,Urban,Pensioner,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,22,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Not at all strongly
M,42,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
M,32,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
M,29,White,4,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
M,31,White,4,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
M,55,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly poor,Fairly strongly
M,28,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,75,White,3,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Not very strongly
M,52,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
M,28,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,35,White,4,Urban,Adult,Female,Social Rented,6-10 mins,Fairly good,Very strongly
M,38,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,66,White,2,Urban,Pensioner,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,27,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Fairly strongly
M,56,White,2,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,38,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,68,White,5,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Fairly strongly
M,62,White,5,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Fairly strongly
M,65,White,5,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,39,White,5,Urban,Adult,Male,Owned Outright,6-10 mins,Very good,Fairly strongly
M,75,White,5,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Very strongly
M,39,White,5,Urban,Adult,Male,Social Rented,11-20 mins,Very good,Fairly strongly
M,69,White,5,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Very strongly
M,70,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Very strongly
M,45,White,4,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
M,58,White,5,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Fairly good,Not very strongly
M,84,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Very strongly
M,35,White,5,Urban,Children,Female,Owned Outright,11-20 mins,Fairly good,Not very strongly
M,79,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Fairly strongly
M,54,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
M,80,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,65,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Not very strongly
M,53,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
M,44,White,2,Urban,Children,Female,Owned Outright,11-20 mins,Fairly good,Very strongly
M,86,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,Don't know,Very good,Very strongly
M,30,White,4,Urban,Adult,Male,Social Rented,6-10 mins,Very good,Fairly strongly
M,65,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
M,29,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Very strongly
M,30,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,26,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Fairly strongly
M,29,White,2,Urban,Adult,Female,Owned Outright,6-10 mins,Very good,Fairly strongly
M,32,White,2,Urban,Adult,Female,Owned Outright,6-10 mins,Fairly good,Not very strongly
M,72,White,2,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Very strongly
M,35,White,2,Urban,Children,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,38,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,53,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,33,White,3,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
M,71,White,5,Urban,Pensioner,Male,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
M,75,White,2,Urban,Pensioner,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,34,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
M,36,White,3,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Not very strongly
M,77,White,1,Urban,Pensioner,Female,Social Rented,5 mins or less,Very good,Very strongly
M,38,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
